#HQF Implant Mapping Table,,,,,,,,,,
#Affecting Attribute,Affecting Type,Affecting ID,Affected Attribute,Affected Type,Affected ID,Calc Type,State,IsGang,Group,Implant Name
624,1,27115,600,3,6,0,0,0,Navigation,Hardwiring - Eifyr and Co. 'Rogue' HY-0
624,1,13242,600,3,6,0,0,0,Navigation,Hardwiring - Eifyr and Co. 'Rogue' HY-1
624,1,27114,600,3,6,0,0,0,Navigation,Hardwiring - Eifyr and Co. 'Rogue' HY-2
318,1,27101,20,4,131;542,0,0,0,Navigation,Hardwiring - Eifyr and Co. 'Rogue' MY-0
318,1,16008,20,4,131;542,0,0,0,Navigation,Hardwiring - Eifyr and Co. 'Rogue' MY-1
318,1,16009,20,4,131;542,0,0,0,Navigation,Hardwiring - Eifyr and Co. 'Rogue' MY-2
312,1,27218,73,4,1056,0,0,0,Armor,Hardwiring - Inherent Implants 'Gentry' ZEX10
312,1,27216,73,4,1056,0,0,0,Armor,Hardwiring - Inherent Implants 'Gentry' ZEX100
312,1,27217,73,4,1056,0,0,0,Armor,Hardwiring - Inherent Implants 'Gentry' ZEX1000
317,1,27221,6,4,1056,0,0,0,Armor,Hardwiring - Inherent Implants 'Gentry' ZEX20
317,1,27219,6,4,1056,0,0,0,Armor,Hardwiring - Inherent Implants 'Gentry' ZEX200
317,1,27220,6,4,1056,0,0,0,Armor,Hardwiring - Inherent Implants 'Gentry' ZEX2000
434,1,27102,77,4,1039;1040,0,0,0,Industry,Hardwiring - Inherent Implants 'Highwall' HX-0
434,1,22534,77,4,1039;1040,0,0,0,Industry,Hardwiring - Inherent Implants 'Highwall' HX-1
434,1,22535,77,4,1039;1040,0,0,0,Industry,Hardwiring - Inherent Implants 'Highwall' HX-2
927,1,27151,1082,4,935,1,0,0,Industry,Hardwiring - Inherent Implants 'Highwall' HY-0
927,1,27149,1082,4,935,1,0,0,Industry,Hardwiring - Inherent Implants 'Highwall' HY-1
927,1,27150,1082,4,935,1,0,0,Industry,Hardwiring - Inherent Implants 'Highwall' HY-2
292,1,27082,10014,4,567;570,0,0,0,Gunnery,Hardwiring - Inherent Implants 'Lancer' G0-Alpha
317,1,27079,6,2,53;55;74,0,0,0,Gunnery,Hardwiring - Inherent Implants 'Lancer' G0-Beta
441,1,27077,10011;10012;10013,2,53;55;74,0,0,0,Gunnery,Hardwiring - Inherent Implants 'Lancer' G0-Delta
292,1,27088,10014,4,569;573,0,0,0,Gunnery,Hardwiring - Inherent Implants 'Lancer' G0-Epsilon
292,1,27085,10014,4,568;572,0,0,0,Gunnery,Hardwiring - Inherent Implants 'Lancer' G0-Gamma
292,1,13223,10014,4,567;570,0,0,0,Gunnery,Hardwiring - Inherent Implants 'Lancer' G1-Alpha
317,1,13246,6,2,53;55;74,0,0,0,Gunnery,Hardwiring - Inherent Implants 'Lancer' G1-Beta
441,1,13166,10011;10012;10013,2,53;55;74,0,0,0,Gunnery,Hardwiring - Inherent Implants 'Lancer' G1-Delta
292,1,13217,10014,4,569;573,0,0,0,Gunnery,Hardwiring - Inherent Implants 'Lancer' G1-Epsilon
292,1,13220,10014,4,568;572,0,0,0,Gunnery,Hardwiring - Inherent Implants 'Lancer' G1-Gamma
292,1,19691,10014,4,567;570,0,0,0,Gunnery,Hardwiring - Inherent Implants 'Lancer' G2-Alpha
317,1,19692,6,2,53;55;74,0,0,0,Gunnery,Hardwiring - Inherent Implants 'Lancer' G2-Beta
441,1,19693,10011;10012;10013,2,53;55;74,0,0,0,Gunnery,Hardwiring - Inherent Implants 'Lancer' G2-Delta
292,1,19694,10014,4,569;573,0,0,0,Gunnery,Hardwiring - Inherent Implants 'Lancer' G2-Epsilon
292,1,19695,10014,4,568;572,0,0,0,Gunnery,Hardwiring - Inherent Implants 'Lancer' G2-Gamma
312,1,27070,73,4,1049;1050;1051;1053;1054;1055,0,0,0,Armor;Hull,Hardwiring - Inherent Implants 'Noble' ZET10
312,1,13258,73,4,1049;1050;1051;1053;1054;1055,0,0,0,Armor;Hull,Hardwiring - Inherent Implants 'Noble' ZET100
312,1,19547,73,4,1049;1050;1051;1053;1054;1055,0,0,0,Armor;Hull,Hardwiring - Inherent Implants 'Noble' ZET1000
317,1,27071,6,4,1057;1058;1059,0,0,0,Armor,Hardwiring - Inherent Implants 'Noble' ZET20
317,1,17871,6,4,1057;1058;1059,0,0,0,Armor,Hardwiring - Inherent Implants 'Noble' ZET200
317,1,19548,6,4,1057;1058;1059,0,0,0,Armor,Hardwiring - Inherent Implants 'Noble' ZET2000
327,1,27072,9,3,6,0,0,0,Hull,Hardwiring - Inherent Implants 'Noble' ZET30
327,1,13257,9,3,6,0,0,0,Hull,Hardwiring - Inherent Implants 'Noble' ZET300
327,1,19549,9,3,6,0,0,0,Hull,Hardwiring - Inherent Implants 'Noble' ZET3000
806,1,27073,84,4,1049;1050;1051,0,0,0,Armor,Hardwiring - Inherent Implants 'Noble' ZET40
806,1,19684,84,4,1049;1050;1051,0,0,0,Armor,Hardwiring - Inherent Implants 'Noble' ZET400
806,1,19685,84,4,1049;1050;1051,0,0,0,Armor,Hardwiring - Inherent Implants 'Noble' ZET4000
1083,1,27074,265,3,6,0,0,0,Armor,Hardwiring - Inherent Implants 'Noble' ZET50
1083,1,27074,1159,2,329,0,0,0,Armor,Hardwiring - Inherent Implants 'Noble' ZET50
1083,1,13256,265,3,6,0,0,0,Armor,Hardwiring - Inherent Implants 'Noble' ZET500
1083,1,13256,1159,2,329,0,0,0,Armor,Hardwiring - Inherent Implants 'Noble' ZET500
1083,1,19550,265,3,6,0,0,0,Armor,Hardwiring - Inherent Implants 'Noble' ZET5000
1083,1,19550,1159,2,329,0,0,0,Armor,Hardwiring - Inherent Implants 'Noble' ZET5000
1079,1,27117,482,3,6,0,0,0,Engineering,Hardwiring - Inherent Implants 'Squire' CC2
1079,1,13259,482,3,6,0,0,0,Engineering,Hardwiring - Inherent Implants 'Squire' CC4
1079,1,27116,482,3,6,0,0,0,Engineering,Hardwiring - Inherent Implants 'Squire' CC8
314,1,27119,55,3,6,0,0,0,Engineering,Hardwiring - Inherent Implants 'Squire' CR2
314,1,13260,55,3,6,0,0,0,Engineering,Hardwiring - Inherent Implants 'Squire' CR4
314,1,27118,55,3,6,0,0,0,Engineering,Hardwiring - Inherent Implants 'Squire' CR8
317,1,27120,6,4,695;696;697,0,0,0,Engineering,Hardwiring - Inherent Implants 'Squire' EE2
317,1,13265,6,4,695;696;697,0,0,0,Engineering,Hardwiring - Inherent Implants 'Squire' EE4
317,1,27121,6,4,695;696;697,0,0,0,Engineering,Hardwiring - Inherent Implants 'Squire' EE8
66,1,27123,73,2,72,0,0,0,Engineering,Hardwiring - Inherent Implants 'Squire' EP2
66,1,13251,73,2,72,0,0,0,Engineering,Hardwiring - Inherent Implants 'Squire' EP4
66,1,27122,73,2,72,0,0,0,Engineering,Hardwiring - Inherent Implants 'Squire' EP8
310,1,27125,50,5,3424,0,0,0,Engineering,Hardwiring - Inherent Implants 'Squire' GU2
310,1,13255,50,5,3424,0,0,0,Engineering,Hardwiring - Inherent Implants 'Squire' GU4
310,1,27124,50,5,3424,0,0,0,Engineering,Hardwiring - Inherent Implants 'Squire' GU8
313,1,27127,11,3,6,0,0,0,Engineering,Hardwiring - Inherent Implants 'Squire' PG2
313,1,13261,11,3,6,0,0,0,Engineering,Hardwiring - Inherent Implants 'Squire' PG4
313,1,27126,11,3,6,0,0,0,Engineering,Hardwiring - Inherent Implants 'Squire' PG8
780,1,27103,73,4,1038,0,0,0,Industry,Hardwiring - Inherent Implants 'Yeti' BX-0
780,1,22570,73,4,1038,0,0,0,Industry,Hardwiring - Inherent Implants 'Yeti' BX-1
780,1,22571,73,4,1038,0,0,0,Industry,Hardwiring - Inherent Implants 'Yeti' BX-2
1156,1,27191,788,2,479,0,0,0,Science,Hardwiring - Poteque Pharmaceuticals 'Prospector' PPF-0
1156,1,27186,788,2,479,0,0,0,Science,Hardwiring - Poteque Pharmaceuticals 'Prospector' PPF-1
1156,1,27190,788,2,479,0,0,0,Science,Hardwiring - Poteque Pharmaceuticals 'Prospector' PPF-2
846,1,27193,208,2,479,0,0,0,Science,Hardwiring - Poteque Pharmaceuticals 'Prospector' PPG-0
846,1,27187,208,2,479,0,0,0,Science,Hardwiring - Poteque Pharmaceuticals 'Prospector' PPG-1
846,1,27192,208,2,479,0,0,0,Science,Hardwiring - Poteque Pharmaceuticals 'Prospector' PPG-2
66,1,27195,73,2,481,0,0,0,Science,Hardwiring - Poteque Pharmaceuticals 'Prospector' PPH-0
66,1,27188,73,2,481,0,0,0,Science,Hardwiring - Poteque Pharmaceuticals 'Prospector' PPH-1
66,1,27194,73,2,481,0,0,0,Science,Hardwiring - Poteque Pharmaceuticals 'Prospector' PPH-2
#1160,1,27196,,,,,0,0,Science,Hardwiring - Poteque Pharmaceuticals 'Prospector' PPW-1
#1160,1,27197,,,,,0,0,Science,Hardwiring - Poteque Pharmaceuticals 'Prospector' PPX-1
#902,1,27198,,,,,0,0,Science,Hardwiring - Poteque Pharmaceuticals 'Prospector' PPY-1
66,1,27260,73,2,538,0,0,0,Science,Hardwiring - Poteque Pharmaceuticals 'Prospector' PPZ-1
#,1,27170,,,,,0,0,Industry,#Hardwiring - Zainou 'Beancounter' F40
#,1,27167,,,,,0,0,Industry,#Hardwiring - Zainou 'Beancounter' F50
#,1,27171,,,,,0,0,Industry,#Hardwiring - Zainou 'Beancounter' F60
#,1,27175,,,,,0,0,Industry,#Hardwiring - Zainou 'Beancounter' H40
#,1,27169,,,,,0,0,Industry,#Hardwiring - Zainou 'Beancounter' H50
#,1,27174,,,,,0,0,Industry,#Hardwiring - Zainou 'Beancounter' H60
#,1,27180,,,,,0,0,Industry,#Hardwiring - Zainou 'Beancounter' I40
#,1,27177,,,,,0,0,Industry,#Hardwiring - Zainou 'Beancounter' I50
#,1,27179,,,,,0,0,Industry,#Hardwiring - Zainou 'Beancounter' I60
#,1,27182,,,,,0,0,Industry,#Hardwiring - Zainou 'Beancounter' J40
#,1,27176,,,,,0,0,Industry,#Hardwiring - Zainou 'Beancounter' J50
#,1,27181,,,,,0,0,Industry,#Hardwiring - Zainou 'Beancounter' J60
#,1,27185,,,,,0,0,Industry,#Hardwiring - Zainou 'Beancounter' K40
#,1,27178,,,,,0,0,Industry,#Hardwiring - Zainou 'Beancounter' K50
#,1,27184,,,,,0,0,Industry,#Hardwiring - Zainou 'Beancounter' K60
294,1,27076,54,2,53;55;74,0,0,0,Gunnery,Hardwiring - Zainou 'Deadeye' ZGA10
294,1,10204,54,2,53;55;74,0,0,0,Gunnery,Hardwiring - Zainou 'Deadeye' ZGA100
294,1,19696,54,2,53;55;74,0,0,0,Gunnery,Hardwiring - Zainou 'Deadeye' ZGA1000
349,1,27078,158,2,53;55;74,0,0,0,Gunnery,Hardwiring - Zainou 'Deadeye' ZGC10
349,1,13245,158,2,53;55;74,0,0,0,Gunnery,Hardwiring - Zainou 'Deadeye' ZGC100
349,1,19697,158,2,53;55;74,0,0,0,Gunnery,Hardwiring - Zainou 'Deadeye' ZGC1000
292,1,27089,10015,4,563;566,0,0,0,Gunnery,Hardwiring - Zainou 'Deadeye' ZGL10
292,1,13218,10015,4,563;566,0,0,0,Gunnery,Hardwiring - Zainou 'Deadeye' ZGL100
292,1,19698,10015,4,563;566,0,0,0,Gunnery,Hardwiring - Zainou 'Deadeye' ZGL1000
292,1,27086,10015,4,562;565,0,0,0,Gunnery,Hardwiring - Zainou 'Deadeye' ZGM10
292,1,13221,10015,4,562;565,0,0,0,Gunnery,Hardwiring - Zainou 'Deadeye' ZGM100
292,1,19699,10015,4,562;565,0,0,0,Gunnery,Hardwiring - Zainou 'Deadeye' ZGM1000
292,1,27083,10015,4,561;564,0,0,0,Gunnery,Hardwiring - Zainou 'Deadeye' ZGS10
292,1,13224,10015,4,561;564,0,0,0,Gunnery,Hardwiring - Zainou 'Deadeye' ZGS100
292,1,19700,10015,4,561;564,0,0,0,Gunnery,Hardwiring - Zainou 'Deadeye' ZGS1000
848,1,27094,654,2,384;653;385;655;386;656,0,0,0,Missiles,Hardwiring - Zainou 'Deadeye' ZMA10
848,1,24632,654,2,384;653;385;655;386;656,0,0,0,Missiles,Hardwiring - Zainou 'Deadeye' ZMA100
848,1,24640,654,2,384;653;385;655;386;656,0,0,0,Missiles,Hardwiring - Zainou 'Deadeye' ZMA1000
557,1,27092,281,2,654;656;655;653;648;657;772;386;385;384;387;89;476;88;914,0,0,0,Missiles,Hardwiring - Zainou 'Deadeye' ZMC10
557,1,13247,281,2,654;656;655;653;648;657;772;386;385;384;387;89;476;88;914,0,0,0,Missiles,Hardwiring - Zainou 'Deadeye' ZMC100
557,1,24636,281,2,654;656;655;653;648;657;772;386;385;384;387;89;476;88;914,0,0,0,Missiles,Hardwiring - Zainou 'Deadeye' ZMC1000
20,1,27093,37,2,654;656;655;653;648;657;772;386;385;384;387;89;476;88;914,0,0,0,Missiles,Hardwiring - Zainou 'Deadeye' ZML10
20,1,13248,37,2,654;656;655;653;648;657;772;386;385;384;387;89;476;88;914,0,0,0,Missiles,Hardwiring - Zainou 'Deadeye' ZML100
20,1,24637,37,2,654;656;655;653;648;657;772;386;385;384;387;89;476;88;914,0,0,0,Missiles,Hardwiring - Zainou 'Deadeye' ZML1000
293,1,27096,51,2,511;862;524;506;510;771;507;508;501;509,0,0,0,Missiles,Hardwiring - Zainou 'Deadeye' ZMM10
293,1,13249,51,2,511;862;524;506;510;771;507;508;501;509,0,0,0,Missiles,Hardwiring - Zainou 'Deadeye' ZMM100
293,1,24638,51,2,511;862;524;506;510;771;507;508;501;509,0,0,0,Missiles,Hardwiring - Zainou 'Deadeye' ZMM1000
847,1,27095,653,2,654;656;655;653;648;657;772;386;385;384;387;89;476;88;914,0,0,0,Missiles,Hardwiring - Zainou 'Deadeye' ZMS10
847,1,13250,653,2,654;656;655;653;648;657;772;386;385;384;387;89;476;88;914,0,0,0,Missiles,Hardwiring - Zainou 'Deadeye' ZMS100
847,1,24639,653,2,654;656;655;653;648;657;772;386;385;384;387;89;476;88;914,0,0,0,Missiles,Hardwiring - Zainou 'Deadeye' ZMS1000
310,1,27091,50,2,511;862;524;506;510;771;507;508;501;509,0,0,0,Missiles,Hardwiring - Zainou 'Gnome' KTA10
310,1,24641,50,2,511;862;524;506;510;771;507;508;501;509,0,0,0,Missiles,Hardwiring - Zainou 'Gnome' KTA100
310,1,24642,50,2,511;862;524;506;510;771;507;508;501;509,0,0,0,Missiles,Hardwiring - Zainou 'Gnome' KTA1000
323,1,13253,30,5,3425,0,0,0,Shield,Hardwiring - Zainou 'Gnome' KUA1000
323,1,16245,30,5,3425,0,0,0,Shield,Hardwiring - Zainou 'Gnome' KUA2000
323,1,27104,30,5,3425,0,0,0,Shield,Hardwiring - Zainou 'Gnome' KUA500
337,1,10228,263,3,6,0,0,0,Shield,Hardwiring - Zainou 'Gnome' KVA1000
337,1,10228,72,2,38,0,0,0,Shield,Hardwiring - Zainou 'Gnome' KVA1000
337,1,16246,263,3,6,0,0,0,Shield,Hardwiring - Zainou 'Gnome' KVA2000
337,1,16246,72,2,38,0,0,0,Shield,Hardwiring - Zainou 'Gnome' KVA2000
337,1,27105,263,3,6,0,0,0,Shield,Hardwiring - Zainou 'Gnome' KVA500
337,1,27105,72,2,38,0,0,0,Shield,Hardwiring - Zainou 'Gnome' KVA500
317,1,13262,6,4,604;603;602;601,0,0,0,Shield,Hardwiring - Zainou 'Gnome' KXA1000
317,1,16247,6,4,604;603;602;601,0,0,0,Shield,Hardwiring - Zainou 'Gnome' KXA2000
317,1,27106,6,4,604;603;602;601,0,0,0,Shield,Hardwiring - Zainou 'Gnome' KXA500
338,1,13263,479,3,6,0,0,0,Shield,Hardwiring - Zainou 'Gnome' KYA1000
338,1,16248,479,3,6,0,0,0,Shield,Hardwiring - Zainou 'Gnome' KYA2000
338,1,27107,479,3,6,0,0,0,Shield,Hardwiring - Zainou 'Gnome' KYA500
310,1,13252,50,2,53;55;74,0,0,0,Gunnery,Hardwiring - Zainou 'Gnome' KZA1000
310,1,16249,50,2,53;55;74,0,0,0,Gunnery,Hardwiring - Zainou 'Gnome' KZA2000
310,1,27080,50,2,53;55;74,0,0,0,Gunnery,Hardwiring - Zainou 'Gnome' KZA500
310,1,27129,50,5,3432,0,0,0,Electronics,Hardwiring - Zainou 'Gypsy' KLB-25
310,1,13254,50,5,3432,0,0,0,Electronics,Hardwiring - Zainou 'Gypsy' KLB-50
310,1,27128,50,5,3432,0,0,0,Electronics,Hardwiring - Zainou 'Gypsy' KLB-75
424,1,27143,48,3,6,0,0,0,Electronics,Hardwiring - Zainou 'Gypsy' KMB-25
424,1,13216,48,3,6,0,0,0,Electronics,Hardwiring - Zainou 'Gypsy' KMB-50
424,1,27142,48,3,6,0,0,0,Electronics,Hardwiring - Zainou 'Gypsy' KMB-75
566,1,27131,564,3,6,0,0,0,Electronics,Hardwiring - Zainou 'Gypsy' KNB-25
566,1,10244,564,3,6,0,0,0,Electronics,Hardwiring - Zainou 'Gypsy' KNB-50
566,1,27130,564,3,6,0,0,0,Electronics,Hardwiring - Zainou 'Gypsy' KNB-75
317,1,27226,6,5,3427,0,0,0,Electronics,Hardwiring - Zainou 'Gypsy' KOB-25
317,1,13232,6,5,3427,0,0,0,Electronics,Hardwiring - Zainou 'Gypsy' KOB-50
317,1,27225,6,5,3427,0,0,0,Electronics,Hardwiring - Zainou 'Gypsy' KOB-75
309,1,27229,76,3,6,0,0,0,Electronics,Hardwiring - Zainou 'Gypsy' KPB-25
309,1,13233,76,3,6,0,0,0,Electronics,Hardwiring - Zainou 'Gypsy' KPB-50
309,1,27227,76,3,6,0,0,0,Electronics,Hardwiring - Zainou 'Gypsy' KPB-75
317,1,27231,6,2,52;65,0,0,0,Electronics,Hardwiring - Zainou 'Gypsy' KQB-25
317,1,13234,6,2,52;65,0,0,0,Electronics,Hardwiring - Zainou 'Gypsy' KQB-50
317,1,27230,6,2,52;65,0,0,0,Electronics,Hardwiring - Zainou 'Gypsy' KQB-75
317,1,27233,6,2,208;290,0,0,0,Electronics,Hardwiring - Zainou 'Gypsy' KRB-25
317,1,13235,6,2,208;290,0,0,0,Electronics,Hardwiring - Zainou 'Gypsy' KRB-50
317,1,27232,6,2,208;290,0,0,0,Electronics,Hardwiring - Zainou 'Gypsy' KRB-75
317,1,27235,6,2,291,0,0,0,Electronics,Hardwiring - Zainou 'Gypsy' KSB-25
317,1,13236,6,2,291,0,0,0,Electronics,Hardwiring - Zainou 'Gypsy' KSB-50
317,1,27234,6,2,291,0,0,0,Electronics,Hardwiring - Zainou 'Gypsy' KSB-75
317,1,27237,6,2,379,0,0,0,Electronics,Hardwiring - Zainou 'Gypsy' KTB-25
317,1,27224,6,2,379,0,0,0,Electronics,Hardwiring - Zainou 'Gypsy' KTB-50
317,1,27236,6,2,379,0,0,0,Electronics,Hardwiring - Zainou 'Gypsy' KTB-75
292,1,27206,114;116;117;118,2,476,0,0,0,Missiles,Hardwiring - Zainou 'Sharpshooter' ZMX10
292,1,27204,114;116;117;118,2,476,0,0,0,Missiles,Hardwiring - Zainou 'Sharpshooter' ZMX100
292,1,27205,114;116;117;118,2,476,0,0,0,Missiles,Hardwiring - Zainou 'Sharpshooter' ZMX1000
547,1,13227,37,2,88,0,0,0,Missiles,Hardwiring - Zainou 'Snapshot' ZMD1000
547,1,27243,37,2,88,0,0,0,Missiles,Hardwiring - Zainou 'Snapshot' ZMD2000
547,1,27244,37,2,88,0,0,0,Missiles,Hardwiring - Zainou 'Snapshot' ZMD500
292,1,27109,114;116;117;118,2,654;772,0,0,0,Missiles,Hardwiring - Zainou 'Snapshot' ZME1000
292,1,27245,114;116;117;118,2,654;772,0,0,0,Missiles,Hardwiring - Zainou 'Snapshot' ZME2000
292,1,27246,114;116;117;118,2,654;772,0,0,0,Missiles,Hardwiring - Zainou 'Snapshot' ZME500
848,1,13228,654,2,394;395;396,0,0,0,Missiles,Hardwiring - Zainou 'Snapshot' ZMF1000
848,1,27247,654,2,394;395;396,0,0,0,Missiles,Hardwiring - Zainou 'Snapshot' ZMF2000
848,1,27249,654,2,394;395;396,0,0,0,Missiles,Hardwiring - Zainou 'Snapshot' ZMF500
292,1,13229,114;116;117;118,2,385;655,0,0,0,Missiles,Hardwiring - Zainou 'Snapshot' ZMH1000
292,1,27250,114;116;117;118,2,385;655,0,0,0,Missiles,Hardwiring - Zainou 'Snapshot' ZMH2000
292,1,27251,114;116;117;118,2,385;655,0,0,0,Missiles,Hardwiring - Zainou 'Snapshot' ZMH500
292,1,27108,114;116;117;118,2,384;653,0,0,0,Missiles,Hardwiring - Zainou 'Snapshot' ZMN1000
292,1,27252,114;116;117;118,2,384;653,0,0,0,Missiles,Hardwiring - Zainou 'Snapshot' ZMN2000
292,1,27253,114;116;117;118,2,384;653,0,0,0,Missiles,Hardwiring - Zainou 'Snapshot' ZMN500
292,1,13230,114;116;117;118,2,387;648,0,0,0,Missiles,Hardwiring - Zainou 'Snapshot' ZMR1000
292,1,27254,114;116;117;118,2,387;648,0,0,0,Missiles,Hardwiring - Zainou 'Snapshot' ZMR2000
292,1,27255,114;116;117;118,2,387;648,0,0,0,Missiles,Hardwiring - Zainou 'Snapshot' ZMR500
292,1,13231,114;116;117;118,2,89;657,0,0,0,Missiles,Hardwiring - Zainou 'Snapshot' ZMT1000
292,1,27256,114;116;117;118,2,89;657,0,0,0,Missiles,Hardwiring - Zainou 'Snapshot' ZMT2000
292,1,27257,114;116;117;118,2,89;657,0,0,0,Missiles,Hardwiring - Zainou 'Snapshot' ZMT500
